tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,102,220578,,Q,Julia Konishi Camargo Silva,U,,BRA,23.9,222305,,,Romina Ccuno,R,,PER,21.3,2-6 6-2 4-1 RET,3,R64,,,,,,,,,,,,,,,,,,,,927,23,711,50
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,103,223367,,,Maria Fernanda Navarro,U,,MEX,27.5,260717,,WC,Josefina Estevez,R,,ARG,16.0,7-5 6-0,3,R64,,,,,,,,,,,,,,,,,,,,,,1023,16
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,106,206037,,,Daniela Seguel,U,171,CHI,31.1,206345,,Q,Victoria Bosio,R,,ARG,29.2,3-6 6-0 6-2,3,R64,,,,,,,,,,,,,,,,,,,,670,57,985,18
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,107,216075,,Q,Jessica Bertoldo,U,,ITA,31.2,220351,,,Luiza Fullana,U,,BRA,22.7,6-0 6-2,3,R64,,,,,,,,,,,,,,,,,,,,1062,14,897,26
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,110,214605,,Q,Agustina Chlpac,U,,ARG,26.9,260708,,WC,Justina Maria Gonzalez Daniele,U,,ARG,,6-2 7-6(1),3,R64,,,,,,,,,,,,,,,,,,,,1098,13,1118,12
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,111,221657,,Q,Camilla Zanolini,U,,ITA,20.8,236968,,,Lourdes Ayala,U,,ARG,17.5,6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,,984,18,808,36
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,114,223336,,,Weronika Baszak,R,,POL,21.3,215721,,Q,Rebeca Pereira,R,,BRA,30.8,6-2 6-1,3,R64,,,,,,,,,,,,,,,,,,,,803,37,990,18
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,115,214713,,Q,Camila Romero,R,175,ECU,25.2,211592,,Q,Leticia Garcia Vidal,U,,BRA,26.8,6-1 6-3,3,R64,,,,,,,,,,,,,,,,,,,,993,18,1203,9
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,118,211646,,,Oana Georgeta Simion,R,,ROU,27.8,236967,,,Carla Markus,U,,ARG,17.7,6-2 7-6(5),3,R64,,,,,,,,,,,,,,,,,,,,817,34,853,30
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,119,214238,,,Verena Meliss,U,,ITA,26.4,219625,,,Fernanda Labrana,R,,CHI,24.8,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,,790,38,798,37
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,122,213849,,SR,Nicole Fossa Huergo,U,,ITA,28.6,238065,,,Noelia Zeballos Melgar,U,,BOL,29.7,7-6(6) 6-2,3,R64,,,,,,,,,,,,,,,,,,,,671,57,,
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,123,261957,,,Candela Vazquez,U,,ARG,,258191,,,Ana Grubor,U,,CAN,20.0,6-0 6-2,3,R64,,,,,,,,,,,,,,,,,,,,914,24,866,29
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,126,219663,,,Lauren Proctor,U,,USA,27.0,260709,,WC,Sol Ailin Larraya Guidi,R,,ARG,15.8,4-6 6-1 6-4,3,R64,,,,,,,,,,,,,,,,,,,,838,32,915,24
