tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-9900,United Cup,Hard,18,I,20230102,270,206289,,,Maria Sakkari,R,172,GRE,27.4,202600,,,Viktoriya Tomova,R,170,BUL,27.8,6-3 6-2,3,RR,87,3,5,55,32,27,10,9,1,2,1,3,56,33,20,6,8,4,8,6,3871,90,682
2023-9900,United Cup,Hard,18,I,20230102,269,202604,,,Despina Papamichail,R,178,GRE,29.8,202688,,,Isabella Shinikova,R,184,BUL,31.1,3-6 6-4 6-1,3,RR,139,2,3,91,61,38,14,13,1,6,1,4,89,50,28,15,13,5,12,158,409,379,131
2023-9900,United Cup,Hard,18,I,20230102,266,210722,,,Elise Mertens,R,179,BEL,27.1,215566,,,Gergana Topalova,R,,BUL,22.8,6-4 3-6 6-0,3,RR,115,2,8,74,44,32,12,12,7,11,2,1,73,48,28,9,13,5,12,29,1475,324,177
2023-9900,United Cup,Hard,18,I,20230102,265,202421,,,Alison Van Uytvanck,R,173,BEL,28.7,202688,,,Isabella Shinikova,R,184,BUL,31.1,6-1 3-6 6-3,3,RR,103,3,0,75,47,33,17,13,4,6,3,8,82,49,30,15,12,3,7,72,794,379,131
2023-9900,United Cup,Hard,18,I,20230102,262,216347,,,Iga Swiatek,R,176,POL,21.5,202505,,,Belinda Bencic,R,175,SUI,25.8,6-3 7-6(3),3,RR,121,2,0,65,44,31,13,11,1,3,3,2,77,50,29,14,10,4,7,1,11085,12,2365
2023-9900,United Cup,Hard,18,I,20230102,261,202663,,,Magda Linette,R,171,POL,30.8,213525,,,Jil Teichmann,L,170,SUI,25.4,5-7 6-4 6-1,3,RR,162,5,4,108,78,54,13,15,7,10,1,4,96,63,42,15,14,8,13,48,1030,35,1336
2023-9900,United Cup,Hard,18,I,20230102,258,216347,,,Iga Swiatek,R,176,POL,21.5,201709,,,Yulia Putintseva,R,163,KAZ,27.9,6-1 6-3,3,RR,64,1,0,42,30,22,11,8,1,1,0,3,49,33,19,6,8,1,5,1,11085,51,995
2023-9900,United Cup,Hard,18,I,20230102,257,202663,,,Magda Linette,R,171,POL,30.8,214992,,,Zhibek Kulambayeva,R,172,KAZ,22.7,6-2 6-1,3,RR,67,1,0,48,26,21,12,8,3,4,0,2,42,31,10,6,7,4,9,48,1030,464,93
2023-9900,United Cup,Hard,18,I,20230102,254,202505,,,Belinda Bencic,R,175,SUI,25.8,201709,,,Yulia Putintseva,R,163,KAZ,27.9,7-6(0) 6-3,3,RR,114,2,3,76,47,33,15,11,3,5,1,4,65,40,25,10,10,4,7,12,2365,51,995
2023-9900,United Cup,Hard,18,I,20230102,253,213525,,,Jil Teichmann,L,170,SUI,25.4,214992,,,Zhibek Kulambayeva,R,172,KAZ,22.7,6-3 6-2,3,RR,82,4,6,52,21,18,16,9,0,2,0,4,50,36,18,5,8,5,10,35,1336,464,93
2023-9900,United Cup,Hard,18,I,20230102,250,202468,,,Jessica Pegula,R,170,USA,28.8,201696,,,Laura Siegemund,R,168,GER,34.8,6-3 6-2,3,RR,80,0,2,43,24,18,15,8,0,0,0,2,61,45,22,9,9,3,7,3,4691,176,368
2023-9900,United Cup,Hard,18,I,20230102,249,201619,,,Madison Keys,R,178,USA,27.8,215898,,,Jule Niemeier,R,178,GER,23.3,6-2 6-3,3,RR,70,2,1,44,33,27,7,9,0,1,4,7,63,34,21,10,8,4,8,11,2417,65,845
2023-9900,United Cup,Hard,18,I,20230102,246,201520,,,Petra Kvitova,L,183,CZE,32.8,202468,,,Jessica Pegula,R,170,USA,28.8,7-6(6) 6-4,3,RR,119,2,5,74,44,29,18,11,4,6,2,3,91,52,34,19,11,8,11,16,2097,3,4691
2023-9900,United Cup,Hard,18,I,20230102,245,201619,,,Madison Keys,R,178,USA,27.8,213631,,,Marie Bouzkova,R,180,CZE,24.4,6-4 6-3,3,RR,80,1,3,48,31,23,11,10,0,2,1,1,57,40,23,7,9,3,7,11,2417,24,1607
2023-9900,United Cup,Hard,18,I,20230102,242,201520,,,Petra Kvitova,L,183,CZE,32.8,201696,,,Laura Siegemund,R,168,GER,34.8,6-4 6-2,3,RR,109,3,10,74,46,31,12,9,9,11,0,2,61,43,20,9,9,4,9,16,2097,176,368
2023-9900,United Cup,Hard,18,I,20230102,241,213631,,,Marie Bouzkova,R,180,CZE,24.4,215898,,,Jule Niemeier,R,178,GER,23.3,6-2 7-5,3,RR,109,4,2,65,49,33,9,10,0,1,3,7,66,34,22,13,10,5,9,24,1607,65,845
2023-9900,United Cup,Hard,18,I,20230102,238,222601,,,Jessica Bouzas Maneiro,R,,ESP,20.2,216265,,,Olivia Gadecki,R,,AUS,20.6,6-2 6-2,3,RR,80,0,2,57,44,31,4,8,2,3,1,5,49,27,16,8,8,3,8,193,340,202,326
2023-9900,United Cup,Hard,18,I,20230102,237,203463,,,Nuria Parrizas Diaz,R,167,ESP,31.4,213666,,,Maddison Inglis,R,171,AUS,24.9,6-1 6-3,3,RR,85,2,2,60,40,29,11,8,5,5,1,3,52,36,22,3,8,6,10,70,802,179,363
2023-9900,United Cup,Hard,18,I,20230102,234,211651,,,Paula Badosa,R,180,ESP,25.1,211279,,,Harriet Dart,R,175,GBR,26.4,6-7(6) 7-6(5) 6-1,3,RR,184,3,12,119,70,48,21,16,7,12,1,5,110,66,38,16,15,4,11,13,2363,98,635
2023-9900,United Cup,Hard,18,I,20230102,233,215042,,,Katie Swan,R,170,GBR,23.7,203463,,,Nuria Parrizas Diaz,R,167,ESP,31.4,3-6 6-1 6-2,3,RR,125,6,1,67,50,35,8,12,1,4,0,4,84,60,31,11,12,12,18,145,435,70,802
2023-9900,United Cup,Hard,18,I,20230102,230,211279,,,Harriet Dart,R,175,GBR,26.4,213666,,,Maddison Inglis,R,171,AUS,24.9,6-4 6-4,3,RR,92,5,0,54,36,30,10,10,2,3,1,4,61,44,26,9,10,0,3,98,635,179,363
2023-9900,United Cup,Hard,18,I,20230102,229,215042,,,Katie Swan,R,170,GBR,23.7,211941,,,Zoe Hives,R,,AUS,26.1,6-4 6-3,3,RR,86,3,4,49,34,23,6,9,2,5,2,8,63,39,19,8,10,2,8,145,435,772,29
2023-9900,United Cup,Hard,18,I,20230102,226,206242,,,Beatriz Haddad Maia,L,185,BRA,26.5,203354,,,Martina Trevisan,L,160,ITA,29.1,6-2 6-0,3,RR,78,2,3,48,30,22,8,7,3,4,0,4,49,35,15,3,7,3,9,15,2215,27,1528
2023-9900,United Cup,Hard,18,I,20230102,225,214459,,,Lucia Bronzetti,R,,ITA,24.0,206007,,,Laura Pigossi,R,164,BRA,28.4,6-0 6-2,3,RR,77,4,2,47,29,20,10,7,1,2,0,1,44,36,12,3,7,1,7,54,951,118,546
2023-9900,United Cup,Hard,18,I,20230102,222,203354,,,Martina Trevisan,L,160,ITA,29.1,214935,,,Malene Helgo,U,,NOR,23.3,7-5 3-6 6-4,3,RR,182,5,7,105,73,45,13,15,11,16,0,9,122,71,43,23,16,12,18,27,1528,321,182
2023-9900,United Cup,Hard,18,I,20230102,221,214459,,,Lucia Bronzetti,R,,ITA,24.0,205918,,,Ulrikke Eikeri,R,,NOR,30.0,6-2 7-5,3,RR,108,4,4,75,35,26,19,10,8,11,1,5,71,40,23,10,10,4,10,54,951,388,128
2023-9900,United Cup,Hard,18,I,20230102,218,206242,,,Beatriz Haddad Maia,L,185,BRA,26.5,214935,,,Malene Helgo,U,,NOR,23.3,6-4 6-2,3,RR,91,5,1,48,32,24,12,9,0,0,5,4,69,41,26,12,9,8,11,15,2215,321,182
2023-9900,United Cup,Hard,18,I,20230102,217,206007,,,Laura Pigossi,R,164,BRA,28.4,205918,,,Ulrikke Eikeri,R,,NOR,30.0,6-3 6-4,3,RR,110,1,5,71,42,27,13,9,3,6,3,7,70,39,24,10,10,7,13,118,546,388,128
2023-9900,United Cup,Hard,18,I,20230102,214,201614,,,Caroline Garcia,R,177,FRA,29.2,201549,,,Petra Martic,R,181,CRO,31.9,7-6(9) 6-4,3,RR,113,7,1,78,46,37,18,11,4,4,4,2,67,36,27,19,11,0,1,4,4375,38,1203
2023-9900,United Cup,Hard,18,I,20230102,213,202499,,,Donna Vekic,R,179,CRO,26.5,201427,,,Alize Cornet,R,173,FRA,32.9,6-4 6-3,3,RR,114,4,2,71,46,30,13,9,3,4,1,2,80,53,30,12,10,8,12,67,827,36,1328
2023-9900,United Cup,Hard,18,I,20230102,210,201614,,,Caroline Garcia,R,177,FRA,29.2,206408,,,Nadia Podoroska,R,170,ARG,25.8,6-2 6-0,3,RR,64,3,1,37,20,18,10,7,0,0,1,3,54,36,17,6,7,6,11,4,4375,196,335
2023-9900,United Cup,Hard,18,I,20230102,209,201427,,,Alize Cornet,R,173,FRA,32.9,214604,,,Maria Carle,R,,ARG,22.8,6-2 6-1,3,RR,75,0,2,53,28,17,18,8,0,1,0,6,42,26,11,4,7,3,8,36,1328,147,427
2023-9900,United Cup,Hard,18,I,20230102,206,201549,,,Petra Martic,R,181,CRO,31.9,206408,,,Nadia Podoroska,R,170,ARG,25.8,6-2 4-6 6-1,3,RR,113,3,5,70,41,32,14,13,2,5,0,3,74,46,26,11,12,3,9,38,1203,196,335
2023-9900,United Cup,Hard,18,I,20230102,205,202499,,,Donna Vekic,R,179,CRO,26.5,214604,,,Maria Carle,R,,ARG,22.8,6-0 6-4,3,RR,70,0,2,43,27,20,10,8,0,1,0,3,45,26,16,4,8,0,5,67,827,147,427
2023-800,Adelaide 1,Hard,32,P,20230102,300,214544,2,,Aryna Sabalenka,R,182,BLR,24.6,222328,,Q,Linda Noskova,R,,CZE,18.1,6-3 7-6(4),3,F,103,12,7,73,31,29,23,11,3,3,6,8,87,50,37,15,10,5,6,5,3925,102,620
2023-800,Adelaide 1,Hard,32,P,20230102,299,222328,,Q,Linda Noskova,R,,CZE,18.1,202460,1,,Ons Jabeur,R,167,TUN,28.3,6-3 1-6 6-3,3,SF,110,8,2,97,59,39,21,13,10,12,4,4,76,38,29,20,12,4,6,102,620,2,5055
2023-800,Adelaide 1,Hard,32,P,20230102,298,214544,2,,Aryna Sabalenka,R,182,BLR,24.6,201593,,,Irina Camelia Begu,R,181,ROU,32.3,6-3 6-2,3,SF,78,6,5,55,31,25,13,9,3,3,1,2,48,27,17,9,8,4,7,5,3925,34,1347
2023-800,Adelaide 1,Hard,32,P,20230102,297,202460,1,,Ons Jabeur,R,167,TUN,28.3,216146,,Q,Marta Kostyuk,R,175,UKR,20.5,7-6(5) 7-5,3,QF,113,2,3,79,47,33,14,12,3,7,2,1,89,53,34,16,12,3,8,2,5055,69,820
2023-800,Adelaide 1,Hard,32,P,20230102,296,222328,,Q,Linda Noskova,R,,CZE,18.1,201458,,,Victoria Azarenka,R,180,BLR,33.4,6-4 6-7(3) 7-6(6),3,QF,178,7,5,117,76,52,19,17,7,11,15,6,127,90,59,18,17,11,16,102,620,26,1597
2023-800,Adelaide 1,Hard,32,P,20230102,295,201593,,,Irina Camelia Begu,R,181,ROU,32.3,206368,4,,Veronika Kudermetova,R,175,RUS,25.6,7-5 6-4,3,QF,130,2,2,76,51,30,12,11,6,10,1,2,77,45,21,17,11,5,11,34,1347,9,2795
2023-800,Adelaide 1,Hard,32,P,20230102,294,214544,2,,Aryna Sabalenka,R,182,BLR,24.6,214954,,SR,Marketa Vondrousova,L,173,CZE,23.5,6-3 7-5,3,QF,93,6,4,73,44,32,14,11,6,8,5,2,73,51,32,7,10,8,12,5,3925,92,662
2023-800,Adelaide 1,Hard,32,P,20230102,293,202460,1,,Ons Jabeur,R,167,TUN,28.3,201514,,,Sorana Cirstea,R,176,ROU,32.7,7-6(3) 6-1,3,R16,77,2,3,62,35,31,11,10,0,2,0,1,52,35,21,7,9,2,6,2,5055,45,1087
2023-800,Adelaide 1,Hard,32,P,20230102,292,216146,,Q,Marta Kostyuk,R,175,UKR,20.5,214981,,,Elena Rybakina,R,184,KAZ,23.5,6-7(5) 6-2 6-3,3,R16,141,5,3,110,75,56,17,15,9,10,7,3,102,52,40,24,14,5,9,69,820,21,1860
2023-800,Adelaide 1,Hard,32,P,20230102,291,222328,,Q,Linda Noskova,R,,CZE,18.1,214906,,Q,Claire Liu,R,170,USA,22.6,6-2 6-2,3,R16,74,3,2,56,36,25,12,8,2,2,3,3,52,30,14,11,8,1,5,102,620,59,880
2023-800,Adelaide 1,Hard,32,P,20230102,290,201458,,,Victoria Azarenka,R,180,BLR,33.4,221012,,,Qinwen Zheng,R,,CHN,20.2,6-2 7-5,3,R16,99,1,0,54,37,29,9,10,1,2,10,2,74,40,28,13,10,7,11,26,1597,28,1528
2023-800,Adelaide 1,Hard,32,P,20230102,289,201593,,,Irina Camelia Begu,R,181,ROU,32.3,211533,7,,Jelena Ostapenko,R,177,LAT,25.5,6-3 6-0,3,R16,73,4,1,33,22,17,9,7,1,2,1,4,72,44,25,5,8,8,14,34,1347,18,1986
2023-800,Adelaide 1,Hard,32,P,20230102,288,206368,4,,Veronika Kudermetova,R,175,RUS,25.6,215370,,SR,Bianca Andreescu,R,170,CAN,22.5,6-4 6-0,3,R16,79,2,0,45,28,19,9,8,1,3,0,2,53,34,12,10,8,9,15,9,2795,46,1066
2023-800,Adelaide 1,Hard,32,P,20230102,287,214954,,SR,Marketa Vondrousova,L,173,CZE,23.5,201466,,,Kaia Kanepi,R,181,EST,37.5,6-0 6-4,3,R16,67,2,4,47,30,25,8,8,1,1,0,1,52,28,16,9,8,4,8,92,662,32,1380
2023-800,Adelaide 1,Hard,32,P,20230102,286,214544,2,,Aryna Sabalenka,R,182,BLR,24.6,214643,,,Liudmila Samsonova,R,180,RUS,24.1,7-6(8) 7-6(3),3,R16,135,11,6,96,68,42,17,12,7,10,8,4,86,51,36,16,12,4,7,5,3925,20,1910
2023-800,Adelaide 1,Hard,32,P,20230102,284,201514,,,Sorana Cirstea,R,176,ROU,32.7,203530,,Q,Viktorija Golubic,R,169,SUI,30.2,6-0 7-6(1),3,R32,104,2,0,81,45,33,17,9,6,7,0,4,57,41,25,3,9,3,7,45,1087,76,779
2023-800,Adelaide 1,Hard,32,P,20230102,283,216146,,Q,Marta Kostyuk,R,175,UKR,20.5,215096,,WC,Jaimee Fourlis,R,168,AUS,23.2,6-1 3-6 6-4,3,R32,125,3,8,68,38,25,15,13,0,4,1,4,94,58,35,14,13,5,11,69,820,162,389
2023-800,Adelaide 1,Hard,32,P,20230102,282,214981,,,Elena Rybakina,R,184,KAZ,23.5,203389,5,,Danielle Collins,R,178,USA,29.0,5-7 6-2 6-3,3,R32,141,14,6,86,49,42,18,15,2,4,5,10,106,60,39,22,14,13,17,21,1860,14,2287
2023-800,Adelaide 1,Hard,32,P,20230102,281,222328,,Q,Linda Noskova,R,,CZE,18.1,214082,3,,Daria Kasatkina,R,170,RUS,25.6,6-3 6-7(2) 6-3,3,R32,153,3,4,117,79,48,17,16,8,14,3,0,102,72,38,12,14,7,15,102,620,8,3435
2023-800,Adelaide 1,Hard,32,P,20230102,280,214906,,Q,Claire Liu,R,170,USA,22.6,211880,,WC,Priscilla Hon,R,171,AUS,24.6,4-6 6-3 6-3,3,R32,130,5,1,82,53,39,16,14,3,5,1,5,96,59,40,16,14,4,8,59,880,154,415
2023-800,Adelaide 1,Hard,32,P,20230102,279,201458,,,Victoria Azarenka,R,180,BLR,33.4,211843,,Q,Anhelina Kalinina,R,179,UKR,25.9,7-6(9) 7-6(5),3,R32,158,1,5,90,60,35,16,12,4,8,1,3,99,64,42,13,12,3,7,26,1597,39,1197
2023-800,Adelaide 1,Hard,32,P,20230102,278,221012,,,Qinwen Zheng,R,,CHN,20.2,204426,6,,Anett Kontaveit,R,174,EST,27.0,6-1 4-6 7-6(7),3,R32,147,6,1,106,64,49,21,15,6,8,3,2,91,54,39,18,14,3,6,28,1528,17,2093
2023-800,Adelaide 1,Hard,32,P,20230102,277,211533,7,,Jelena Ostapenko,R,177,LAT,25.5,201662,,,Karolina Pliskova,R,184,CZE,30.7,6-1 6-3,3,R32,66,1,2,52,31,23,11,8,1,2,3,3,47,33,18,4,8,3,8,18,1986,31,1426
2023-800,Adelaide 1,Hard,32,P,20230102,276,201593,,,Irina Camelia Begu,R,181,ROU,32.3,201603,,Q,Shelby Rogers,R,175,USA,30.2,3-6 7-6(5) 6-1,3,R32,157,3,7,88,51,33,17,13,6,11,1,5,95,56,36,13,15,3,10,34,1347,47,1065
2023-800,Adelaide 1,Hard,32,P,20230102,275,215370,,SR,Bianca Andreescu,R,170,CAN,22.5,202469,,WC,Garbine Muguruza,R,182,ESP,29.2,0-6 7-6(3) 6-1,3,R32,133,3,4,85,57,38,10,13,6,11,2,0,85,54,34,14,12,3,7,46,1066,55,923
2023-800,Adelaide 1,Hard,32,P,20230102,274,206368,4,,Veronika Kudermetova,R,175,RUS,25.6,216153,,,Amanda Anisimova,R,180,USA,21.3,6-3 6-0,3,R32,75,7,1,46,31,21,9,7,3,4,0,1,59,39,15,9,8,3,9,9,2795,23,1746
2023-800,Adelaide 1,Hard,32,P,20230102,273,214954,,SR,Marketa Vondrousova,L,173,CZE,23.5,206420,8,,Ekaterina Alexandrova,R,175,RUS,28.1,4-6 6-3 6-2,3,R32,136,6,5,114,89,56,13,14,13,16,5,17,102,54,36,19,13,10,15,92,662,19,1910
2023-800,Adelaide 1,Hard,32,P,20230102,272,201466,,,Kaia Kanepi,R,181,EST,37.5,205925,,,Aliaksandra Sasnovich,R,174,BLR,28.7,4-6 6-1 6-4,3,R32,123,6,0,77,46,37,15,14,3,5,3,1,85,49,31,18,13,1,5,32,1380,30,1428
2023-800,Adelaide 1,Hard,32,P,20230102,271,214643,,,Liudmila Samsonova,R,180,RUS,24.1,201533,,,Shuai Zhang,R,177,CHN,33.9,5-7 6-3 6-0,3,R32,119,17,3,96,55,36,24,14,4,7,2,3,79,49,27,15,13,7,13,20,1910,25,1600
2023-1049,Auckland,Hard,32,I,20230102,300,221103,1,,Cori Gauff,R,175,USA,18.8,214119,,Q,Rebeka Masarova,R,186,ESP,23.4,6-1 6-1,3,F,75,5,3,66,44,31,10,7,10,10,3,2,49,34,19,2,7,5,10,7,3646,130,476
2023-1049,Auckland,Hard,32,I,20230102,299,221103,1,,Cori Gauff,R,175,USA,18.8,203575,7,,Danka Kovinic,R,169,MNE,28.1,6-0 6-2,3,SF,73,2,3,45,33,23,5,7,3,4,3,4,62,31,14,12,7,9,15,7,3646,60,879
2023-1049,Auckland,Hard,32,I,20230102,298,214119,,Q,Rebeka Masarova,R,186,ESP,23.4,204434,,Q,Ysaline Bonaventure,L,178,BEL,28.3,6-3 6-3,3,SF,67,9,1,51,38,29,6,9,2,3,0,3,53,27,16,12,9,2,6,130,476,95,651
2023-1049,Auckland,Hard,32,I,20230102,297,221103,1,,Cori Gauff,R,175,USA,18.8,202684,,,Lin Zhu,R,173,CHN,28.9,6-3 6-2,3,QF,76,8,2,47,28,25,11,9,0,0,1,1,62,44,25,9,8,10,13,7,3646,84,712
2023-1049,Auckland,Hard,32,I,20230102,296,203575,7,,Danka Kovinic,R,169,MNE,28.1,214149,,Q,Viktoria Kuzmova,R,,SVK,24.6,6-3 6-2,3,QF,70,8,1,49,37,27,11,9,0,0,2,6,56,29,22,9,8,6,9,60,879,134,467
2023-1049,Auckland,Hard,32,I,20230102,295,204434,,Q,Ysaline Bonaventure,L,178,BEL,28.3,220367,3,,Leylah Fernandez,L,168,CAN,20.3,6-4 6-2,3,QF,69,1,4,56,32,23,14,9,5,6,3,4,58,40,24,7,9,4,8,95,651,40,1193
2023-1049,Auckland,Hard,32,I,20230102,294,214119,,Q,Rebeka Masarova,R,186,ESP,23.4,214096,,,Karolina Muchova,R,178,CZE,26.3,7-6(4) 7-6(2),3,QF,124,3,4,88,59,45,15,12,3,4,1,0,77,55,40,11,12,1,2,130,476,151,416
2023-1049,Auckland,Hard,32,I,20230102,293,221103,1,,Cori Gauff,R,175,USA,18.8,213550,,WC,Sofia Kenin,R,170,USA,24.1,6-4 6-4,3,R16,83,9,2,62,43,33,9,10,6,7,1,0,72,43,30,12,10,4,7,7,3646,227,284
2023-1049,Auckland,Hard,32,I,20230102,292,202684,,,Lin Zhu,R,173,CHN,28.9,200748,,WC,Venus Williams,R,185,USA,42.5,3-6 6-2 7-5,3,R16,143,3,2,93,60,36,14,14,8,14,3,4,89,56,30,14,15,6,14,84,712,1003,13
2023-1049,Auckland,Hard,32,I,20230102,291,214149,,Q,Viktoria Kuzmova,R,,SVK,24.6,221054,,,Emma Raducanu,R,175,GBR,20.1,0-6 7-5 RET,3,R16,94,3,3,63,37,19,13,9,7,11,4,1,51,35,25,7,10,3,5,134,467,78,755
2023-1049,Auckland,Hard,32,I,20230102,290,203575,7,,Danka Kovinic,R,169,MNE,28.1,201616,,,Lauren Davis,R,157,USA,29.2,4-6 6-3 6-2,3,R16,136,3,2,100,60,41,23,14,8,10,2,4,68,42,27,14,13,0,4,60,879,87,706
2023-1049,Auckland,Hard,32,I,20230102,289,204434,,Q,Ysaline Bonaventure,L,178,BEL,28.3,201606,8,,Rebecca Marino,R,183,CAN,32.0,3-6 6-3 6-3,3,R16,87,4,3,69,43,32,17,13,3,5,16,3,86,61,41,9,14,5,9,95,651,63,859
2023-1049,Auckland,Hard,32,I,20230102,288,220367,3,,Leylah Fernandez,L,168,CAN,20.3,211814,,,Julia Grabher,R,170,AUT,26.5,6-0 6-1,3,R16,45,2,1,34,20,17,11,7,0,0,1,1,38,25,9,5,6,5,10,40,1193,82,729
2023-1049,Auckland,Hard,32,I,20230102,287,214096,,,Karolina Muchova,R,178,CZE,26.3,211817,,Q,Elena Gabriela Ruse,U,,ROU,25.1,6-4 6-1,3,R16,82,2,0,47,31,23,11,8,0,0,2,7,62,34,20,13,9,5,9,151,416,116,547
2023-1049,Auckland,Hard,32,I,20230102,286,214119,,Q,Rebeka Masarova,R,186,ESP,23.4,215020,,,Anna Blinkova,R,179,RUS,24.3,6-1 6-4,3,R16,69,10,1,47,33,26,9,9,2,3,2,6,56,35,19,10,8,5,9,130,476,73,794
2023-1049,Auckland,Hard,32,I,20230102,285,221103,1,,Cori Gauff,R,175,USA,18.8,213583,,,Tatjana Maria,R,172,GER,35.4,6-4 6-1,3,R32,82,1,2,53,30,21,14,9,4,6,1,3,72,46,24,10,8,8,13,7,3646,68,824
2023-1049,Auckland,Hard,32,I,20230102,284,213550,,WC,Sofia Kenin,R,170,USA,24.1,216133,,,Xin Yu Wang,R,182,CHN,21.2,7-6(6) 6-3,3,R32,96,2,2,77,59,43,7,11,6,8,2,2,65,29,21,16,10,4,7,227,284,86,708
2023-1049,Auckland,Hard,32,I,20230102,283,200748,,WC,Venus Williams,R,185,USA,42.5,220465,,Q,Katie Volynets,R,,USA,21.0,7-6(4) 6-2,3,R32,104,2,4,60,40,32,7,10,0,2,1,2,73,49,32,7,10,7,11,1003,13,113,556
